2016-03-08 15:29:14.395 MESSAGE --- [              Logger].[               Setup] Ready to accept and digest messages.
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130925_R1.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130926_R1.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CCN_P3B_20130929_R1.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CNC_P3B_20130904_R0.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CNC_P3B_20130906_R0.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CNC_P3B_20130911_R0.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CNC_P3B_20130912_R0.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CNC_P3B_20130913_R0.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CNC_P3B_20130914_R0.ict
2016-03-08 15:29:24.766 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-CNC_P3B_20130924_R0.ict
